Date,Department or Agency Name,ARMS Department ID,Total # of Employees,# of Employees with Debt,% Employees with Debt,Total Amount Due
06/04/22,ADMINISTRATIVE HEARING,AHMS,35,0,0,0
06/04/22,COMM ANIMAL CARE AND CONTROL,ANIMAL,61,1,1.6,140
06/04/22,AVIATION,AVIATION,"1,850",39,2.1,"29,413.10"
06/04/22,BUS AFFAIRS AND CONSUMER PROT,BACP,168,2,1.2,"6,021.20"
06/04/22,BUILDINGS,BUILDINGS,233,2,0.9,140
06/04/22,CULTURAL AFFAIRS,CA,60,0,0,0
06/04/22,CHICAGO BOARD OF EDUCATION,CBOE,"51,476","3,587",7,"28,48,708.70"
06/04/22,CITY COLLEGES OF CHICAGO,CCC,"4,513",237,5.3,"1,82,906.80"
06/04/22,CCPSA,CCPSA,1,0,0,0
06/04/22,FIRE DEPARTMENT,CFD,"4,784",96,2,"72,822.20"
06/04/22,CHICAGO HOUSING AUTHORITY,CHA,526,6,1.1,"1,284.70"
06/04/22,CITY CLERK,CLERK,78,2,2.6,"2,413.40"
06/04/22,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,147,1,0.7,371.8
06/04/22,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,121,2,1.7,240
06/04/22,CITY COUNCIL,COUNCIL,351,18,5.1,"14,706.00"
06/04/22,CHICAGO PARK DISTRICT,CPDT,"2,543",105,4.1,"69,694.70"
06/04/22,CHICAGO PUBLIC LIBRARY,CPL,"1,017",4,0.4,"1,252.50"
06/04/22,CHICAGO TRANSIT AUTHORITY,CTA,"10,237","2,375",23.2,"25,40,397.80"
06/04/22,DAIS,DAIS,948,7,0.7,"3,706.00"
06/04/22,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,3,2.8,"3,303.10"
06/04/22,BOARD OF ETHICS,ETHICS,7,0,0,0
06/04/22,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,558,9,1.6,"6,575.60"
06/04/22,FINANCE,FINANCE,474,1,0.2,70
06/04/22,PUBLIC HEALTH,HEALTH,562,2,0.4,274.5
06/04/22,HOUSING,HOUSING,77,1,1.3,250
06/04/22,COMMISSION ON HUMAN RELATIONS,HR,15,0,0,0
06/04/22,HUMAN RESOURCES,HUMANRESOURCES,71,1,1.4,"1,661.00"
06/04/22,LAW,LAW,301,0,0,0
06/04/22,OFFICE OF THE MAYOR,MAYOR,103,1,1,240
06/04/22,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,27,0,0,0
06/04/22,OFFICE OF BUDGET & MANAGEMENT,OBM,32,0,0,0
06/04/22,OFFICE OF EMERGENCY MGMT & COM,OEMC,873,21,2.4,"14,897.70"
06/04/22,POLICE,POLICE,"12,311",382,3.1,"2,02,788.20"
06/04/22,PROCUREMENT SERV,PROCUREMENT,73,1,1.4,"1,045.40"
06/04/22,PUBLIC SAFETY ADMINISTRATION,PUBLIC SAFETY ADMINI,278,8,2.9,"1,926.40"
06/04/22,STREETS AND SANITATION,STREETSAN,"1,956",31,1.6,"34,380.10"
06/04/22,TRANSPORTATION,TRANS,"1,153",13,1.1,"13,192.10"
06/04/22,CITY TREASURER,TREASURER,29,1,3.4,270
06/04/22,WATER MANAGEMENT,WATER,"1,826",30,1.6,"19,833.60"
06/11/22,ADMINISTRATIVE HEARING,AHMS,34,0,0,0
06/11/22,COMM ANIMAL CARE AND CONTROL,ANIMAL,66,1,1.5,140
06/11/22,AVIATION,AVIATION,"1,518",30,2,"32,927.30"
06/11/22,BUS AFFAIRS AND CONSUMER PROT,BACP,177,2,1.1,"4,422.30"
06/11/22,BUILDINGS,BUILDINGS,235,1,0.4,70
06/11/22,CULTURAL AFFAIRS,CA,58,0,0,0
06/11/22,CHICAGO BOARD OF EDUCATION,CBOE,"50,769","3,167",6.2,"25,12,612.90"
06/11/22,CITY COLLEGES OF CHICAGO,CCC,"4,421",195,4.4,"1,74,418.60"
06/11/22,CCPSA,CCPSA,1,0,0,0
06/11/22,FIRE DEPARTMENT,CFD,"4,812",76,1.6,"79,850.30"
06/11/22,CHICAGO HOUSING AUTHORITY,CHA,523,5,1,948.8
06/11/22,CITY CLERK,CLERK,76,3,3.9,"1,277.90"
06/11/22,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,150,2,1.3,958.6
06/11/22,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,121,5,4.1,"2,954.10"
06/11/22,CITY COUNCIL,COUNCIL,345,13,3.8,"12,319.40"
06/11/22,CHICAGO PARK DISTRICT,CPDT,"2,721",100,3.7,"99,303.30"
06/11/22,CHICAGO PUBLIC LIBRARY,CPL,997,10,1,"2,194.00"
06/11/22,CHICAGO TRANSIT AUTHORITY,CTA,"9,813","2,101",21.4,"21,07,128.40"
06/11/22,DAIS,DAIS,954,5,0.5,"3,072.30"
06/11/22,BOARD OF ELECTION COMMISSIONER,ELECTIONS,106,2,1.9,"2,882.70"
06/11/22,BOARD OF ETHICS,ETHICS,7,0,0,0
06/11/22,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,560,9,1.6,"10,584.90"
06/11/22,FINANCE,FINANCE,465,3,0.6,"4,339.60"
06/11/22,PUBLIC HEALTH,HEALTH,573,4,0.7,"1,127.10"
06/11/22,HOUSING,HOUSING,78,1,1.3,250
06/11/22,COMMISSION ON HUMAN RELATIONS,HR,15,0,0,0
06/11/22,HUMAN RESOURCES,HUMANRESOURCES,75,1,1.3,"1,661.00"
06/11/22,LAW,LAW,309,0,0,0
06/11/22,OFFICE OF THE MAYOR,MAYOR,101,0,0,0
06/11/22,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,26,0,0,0
06/11/22,OFFICE OF BUDGET & MANAGEMENT,OBM,38,0,0,0
06/11/22,OFFICE OF EMERGENCY MGMT & COM,OEMC,873,23,2.6,"14,606.70"
06/11/22,POLICE,POLICE,"12,236",323,2.6,"1,63,844.30"
06/11/22,PROCUREMENT SERV,PROCUREMENT,74,2,2.7,"2,761.10"
06/11/22,PUBLIC SAFETY ADMINISTRATION,PUBLIC SAFETY ADMINI,279,5,1.8,"3,120.30"
06/11/22,STREETS AND SANITATION,STREETSAN,"1,853",40,2.2,"50,697.80"
06/11/22,TRANSPORTATION,TRANS,"1,203",24,2,"22,259.20"
06/11/22,CITY TREASURER,TREASURER,28,0,0,0
